danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.659,0.789,3,-5.723,0,0.0293,0.487,0.0,0.115,0.468,139.982,audio_features,0PAcdVzhPO4gq1Iym9ESnK,177388,4,0.534,0.485,0.179,0.304
0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,audio_features,7fveJ3pk1eSfxBdVkzdXZ0,181621,4,0.166,1.0,0.384,0.618
0.728,0.818,9,-5.068,1,0.0329,0.323,0.0,0.582,0.681,119.706,audio_features,5W4kiM2cUYBJXKRudNyxjW,157478,4,0.429,1.0,0.337,0.454
0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,178520,3,0.209,0.989,0.249,0.558
0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,audio_features,3FU6urUVsgXa6RBuV2PdRk,169227,4,0.453,1.0,0.552,0.548
0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,audio_features,6foY66mWZN0pSRjZ408c00,234347,4,0.325,1.0,0.468,0.531
0.622,0.444,4,-6.06,1,0.027,0.795,0.0,0.152,0.603,141.952,audio_features,47Xj8eIAp7hYOOqArmkqZE,209427,4,0.495,1.0,0.864,0.772
0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,audio_features,7qTaDOcld0VmBWXnkbUj45,185600,4,0.202,0.943,0.181,0.207
0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,audio_features,3rUGC1vUpkDG9CZFHMur1t,131872,1,0.962,0.051,0.358,0.537
0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,audio_features,4E63weMCaNZuGPEFMnuEi8,159401,4,0.765,0.932,0.234,0.458
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,audio_features,36gcliMRX1vCpgnrZE3dFZ,172253,4,0.86,0.807,0.065,0.449
0.66,0.379,4,-9.357,1,0.0543,0.798,0.0,0.0913,0.0762,124.027,audio_features,4l0RmWt52FxpVxMNni6i63,170227,4,0.24,1.0,0.433,0.59
0.543,0.857,8,-3.341,1,0.0945,0.502,0.0,0.119,0.321,129.918,audio_features,51hyZpbJlIgZIaX3TtMxmu,143940,4,0.42,1.0,0.291,0.473
0.602,0.626,2,-5.323,0,0.0396,0.0129,9.02e-06,0.144,0.619,160.118,audio_features,7l9IqDtVWJurTvkQHq1BGh,207120,4,0.744,1.0,0.334,0.516
0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029,audio_features,7l97ElWmIdVHWUaOeeU5ZC,175027,4,0.059,0.628,0.445,0.511
0.707,0.811,8,-5.003,1,0.0338,0.0237,5.16e-06,0.153,0.672,113.022,audio_features,0tFRxPQHvAUMTbWYRJUo8R,180393,4,0.973,1.0,0.647,0.674
0.667,0.829,2,-3.74,1,0.0509,0.0168,0.0,0.155,0.265,98.014,audio_features,4mFcwFOlSCxp6hjemRXwpd,122416,4,0.725,1.0,0.227,0.446
0.436,0.153,0,-9.522,1,0.0454,0.911,0.0,0.129,0.415,71.684,audio_features,4Ey0LK1HzksUqm9JLzzKuD,202340,4,0.017,0.159,0.564,0.621
0.759,0.548,9,-6.049,0,0.0289,0.0379,0.0,0.0828,0.75,116.963,audio_features,6v3KW9xbzN5yKLt9YKDYA2,190800,4,0.812,1.0,0.443,0.526
0.618,0.793,5,-5.794,1,0.0506,0.0103,0.00463,0.235,0.198,75.524,audio_features,2H2ytI7ompfNmRkI2sq8Uk,174880,4,0.003,0.77,0.671,0.559
